"Depth_Target","DateTime_Start","DateTime_End","Depthm","TempC","SpConduScm","ChlorophyllRFU","ChlorophyllugL","BGAPCRFU","BGAPCugL","TurbidityFNU","fDOMRFU","fDOMQSU","ODOsat","ODOmgL","pH","NITRATE_UM","NITRATE_MG","ABS_254","ABS_350","T_INT","T_SPEC","T_LAMP","Presspsia"
0,2018-04-25 15:46:00,2018-04-25 15:47:00,0.0605166666666667,6.38111666666667,567.773333333333,1.085,4.4535,0.318833333333333,0.312666666666667,1.0885,12.6681666666667,36.3616666666667,105.868333333333,13.03,8.372,50.888,0.71,0.126,0.044,23.34,23.82,20.82,0.0862166666666667
1,2018-04-25 15:48:00,2018-04-25 15:49:00,0.999116666666667,6.16801666666667,567.983333333333,1.97166666666667,8.02983333333333,0.460333333333333,0.4605,1.1465,12.869,36.937,106.48,13.1763333333333,8.431,59.502,0.83,0.14,0.048,22.34,22.94,18.12,1.42116666666667
2,2018-04-25 15:50:00,2018-04-25 15:51:00,1.63215,5.96405,568.24,2.79233333333333,11.338,0.541833333333333,0.544166666666667,1.19266666666667,13.009,37.3368333333333,106.406666666667,13.2345,8.45,59.552,0.83,0.14,0.05,20.42,21.34,16.08,2.3218
3,2018-04-25 15:52:00,2018-04-25 15:53:00,2.79653333333333,5.45038333333333,568.726666666667,3.19266666666667,12.9526666666667,0.549666666666667,0.553833333333333,1.18616666666667,13.305,38.1876666666667,104.46,13.1625,8.43,59.5083333333333,0.83,0.14,0.05,18.6833333333333,19.8,14.5,3.9781
4,2018-04-25 15:54:00,2018-04-25 15:55:00,4.02856666666667,5.27963333333333,569.218333333333,3.46983333333333,14.0688333333333,0.570166666666667,0.573666666666667,1.10283333333333,13.422,38.5235,102.616666666667,12.9911666666667,8.41,59.5683333333333,0.831666666666667,0.143333333333333,0.05,17.3333333333333,18.5166666666667,13.3833333333333,5.73086666666667
5,2018-04-25 15:56:00,2018-04-25 15:57:00,5.0194,5.17183333333333,569.573333333333,3.45216666666667,13.996,0.534333333333333,0.538166666666667,1.04283333333333,13.4801666666667,38.6871666666667,100.296666666667,12.7286666666667,8.38,59.5216666666667,0.83,0.146666666666667,0.05,16.1833333333333,17.4333333333333,12.6,7.14035
6,2018-04-25 15:58:00,2018-04-25 15:59:00,6.03511666666667,5.13828333333333,569.641666666667,3.24833333333333,13.1778333333333,0.513333333333333,0.515666666666667,1.04566666666667,13.5171666666667,38.7953333333333,99.3533333333333,12.6235,8.36,59.505,0.83,0.146666666666667,0.05,15.2166666666667,16.4333333333333,12.0333333333333,8.58506666666667
7,2018-04-25 16:00:00,2018-04-25 16:01:00,7.00821666666667,5.09795,569.82,3.10233333333333,12.587,0.479833333333333,0.481333333333333,0.9745,13.5396666666667,38.8575,99.0516666666667,12.5953333333333,8.35033333333333,59.5183333333333,0.83,0.148333333333333,0.05,14.4,15.6,11.6666666666667,9.96956666666667
8,2018-04-25 16:02:00,2018-04-25 16:03:00,8.03683333333333,5.03403333333333,570.263333333333,2.783,11.2988333333333,0.438,0.438,1.02133333333333,13.5785,38.9693333333333,98.5833333333333,12.5581666666667,8.34883333333333,59.5066666666667,0.83,0.146666666666667,0.05,13.7333333333333,14.8166666666667,11.3833333333333,11.4329833333333
9,2018-04-25 16:04:00,2018-04-25 16:05:00,9.03656666666667,4.9585,570.321666666667,2.847,11.5608333333333,0.445166666666667,0.444833333333333,0.949166666666667,13.609,39.057,98.17,12.53,8.34,59.5533333333333,0.831666666666667,0.15,0.05,13.1666666666667,14.15,11.1833333333333,12.85515
10,2018-04-25 16:06:00,2018-04-25 16:07:00,10.0053333333333,4.91441666666667,570.578333333333,3.03216666666667,12.305,0.4705,0.4715,1.03766666666667,13.6366666666667,39.1383333333333,97.78,12.4913333333333,8.33,59.53,0.83,0.15,0.05,12.6666666666667,13.5333333333333,11.0833333333333,14.2333333333333
11,2018-04-25 16:08:00,2018-04-25 16:09:00,11.0631166666667,4.84958333333333,570.833333333333,2.503,10.172,0.415666666666667,0.413833333333333,0.955,13.6445,39.1595,97.4516666666667,12.47,8.33,59.4633333333333,0.83,0.15,0.05,12.2,13,10.9,15.7382
12,2018-04-25 16:10:00,2018-04-25 16:11:00,12.0141,4.81093333333333,570.906666666667,2.4675,10.028,0.4335,0.433166666666667,0.957333333333333,13.668,39.2243333333333,97.4,12.4795,8.33,59.56,0.831666666666667,0.15,0.05,11.85,12.5333333333333,10.8666666666667,17.091
13,2018-04-25 16:12:00,2018-04-25 16:13:00,13.02985,4.76506666666667,571.013333333333,2.41566666666667,9.8185,0.396166666666667,0.394,0.946833333333333,13.6811666666667,39.2625,97.15,12.461,8.3195,59.588,0.83,0.15,0.05,11.52,12.12,10.8,18.53615
14,2018-04-25 16:14:00,2018-04-25 16:15:00,14.0023833333333,4.75365,571.038333333333,2.87683333333333,11.681,0.488,0.489333333333333,0.989,13.6956666666667,39.3056666666667,96.9,12.432,8.31,59.588,0.834,0.15,0.05,11.22,11.74,10.72,19.9196333333333
15,2018-04-25 16:16:00,2018-04-25 16:17:00,15.0220666666667,4.71448333333333,571.131666666667,3.052,12.385,0.533666666666667,0.535666666666667,1.07233333333333,13.727,39.396,96.4316666666667,12.385,8.30166666666667,59.478,0.83,0.15,0.05,11,11.4,10.68,21.3702333333333
16,2018-04-25 16:18:00,2018-04-25 16:19:00,16.0665666666667,4.55433333333333,571.473333333333,3.02016666666667,12.2586666666667,0.516333333333333,0.519,0.961666666666667,13.8076666666667,39.6256666666667,94.7883333333333,12.2248333333333,8.289,59.458,0.83,0.15,0.05,10.8,11.12,10.6,22.85645
17,2018-04-25 16:20:00,2018-04-25 16:21:00,17.0198666666667,4.307,572.286666666667,2.47083333333333,10.042,0.421833333333333,0.420833333333333,1.00383333333333,13.8968333333333,39.8858333333333,92.1366666666667,11.9588333333333,8.25283333333333,59.226,0.83,0.15,0.05,10.6,10.86,10.5,24.2125833333333
