"Depth_Target","DateTime_Start","DateTime_End","Depthm","TempC","SpConduScm","ChlorophyllRFU","ChlorophyllugL","BGAPCRFU","BGAPCugL","TurbidityFNU","fDOMRFU","fDOMQSU","ODOsat","ODOmgL","pH","NITRATE_UM","NITRATE_MG","ABS_254","ABS_350","T_INT","T_SPEC","T_LAMP","Presspsia"
0,2017-12-01 15:08:00,2017-12-01 15:09:00,0.339666666666667,5.88886666666667,557.26,0.420833333333333,1.7745,0.271,0.262333333333333,0.528833333333333,13.3286666666667,38.2543333333333,86.5716666666667,10.7885,8.05183333333333,23.444,0.33,0.1,0.02,16.68,18.7,16.76,0.483216666666667
1,2017-12-01 15:10:00,2017-12-01 15:11:00,0.99485,5.89548333333333,557.285,0.427,1.79633333333333,0.266666666666667,0.257666666666667,0.3975,13.508,38.7708333333333,86.9,10.825,8.06033333333333,23.52,0.33,0.1,0.02,15.78,17.7,15.22,1.41521666666667
2,2017-12-01 15:12:00,2017-12-01 15:13:00,1.99453333333333,5.88643333333333,557.375,0.427333333333333,1.79716666666667,0.311833333333333,0.303833333333333,0.555666666666667,13.5383333333333,38.8556666666667,87,10.84,8.07,23.5,0.33,0.108,0.02,15,16.7,14.08,2.83725
3,2017-12-01 15:14:00,2017-12-01 15:15:00,2.93761666666667,5.88226666666667,557.351666666667,0.431,1.81516666666667,0.281666666666667,0.2735,0.527333333333333,13.543,38.8673333333333,86.92,10.839,8.07,23.474,0.33,0.11,0.02,14.34,15.84,13.24,4.17876666666667
4,2017-12-01 15:16:00,2017-12-01 15:17:00,3.9957,5.8898,557.373333333333,0.427333333333333,1.79933333333333,0.3105,0.305333333333333,0.475333333333333,13.5341666666667,38.8436666666667,87,10.8415,8.07083333333333,23.45,0.33,0.11,0.02,13.8,15.12,12.7,5.68398333333333
5,2017-12-01 15:18:00,2017-12-01 15:19:00,4.9397,5.88125,557.455,0.442833333333333,1.86033333333333,0.304,0.297666666666667,0.5395,13.5391666666667,38.8571666666667,87,10.84,8.07683333333333,23.46,0.33,0.11,0.02,13.2666666666667,14.4666666666667,12.3166666666667,7.02676666666667
6,2017-12-01 15:20:00,2017-12-01 15:21:00,5.93843333333333,5.87871666666667,557.493333333333,0.435333333333333,1.82966666666667,0.287333333333333,0.2795,0.460166666666667,13.5511666666667,38.8903333333333,87,10.8453333333333,8.08,23.435,0.33,0.11,0.0216666666666667,12.9,13.9333333333333,12.1,8.44756666666667
7,2017-12-01 15:22:00,2017-12-01 15:23:00,7.0096,5.87453333333333,557.43,0.430166666666667,1.80916666666667,0.300333333333333,0.292333333333333,0.637166666666667,13.5491666666667,38.8841666666667,87,10.84,8.07966666666667,23.4533333333333,0.33,0.11,0.02,12.5833333333333,13.4666666666667,11.9,9.97136666666667
8,2017-12-01 15:24:00,2017-12-01 15:25:00,8.0496,5.86493333333333,557.478333333333,0.475666666666667,1.9915,0.309333333333333,0.302833333333333,0.488166666666667,13.5511666666667,38.8916666666667,86.9,10.8325,8.0775,23.3883333333333,0.33,0.11,0.02,12.2833333333333,13.0333333333333,11.8333333333333,11.4506833333333
9,2017-12-01 15:29:00,2017-12-01 15:30:00,8.9611,5.84548333333333,557.273333333333,0.453666666666667,1.90516666666667,0.2895,0.281833333333333,0.441166666666667,13.6118333333333,39.0673333333333,86.4416666666667,10.7845,8.0715,23.056,0.32,0.11,0.022,11.78,12.22,11.7,12.7475333333333
10,2017-12-01 15:27:00,2017-12-01 15:28:00,9.9848,5.84473333333333,557.27,0.508333333333333,2.1265,0.280333333333333,0.272,0.497666666666667,13.6143333333333,39.0721666666667,86.455,10.786,8.07,22.892,0.32,0.11,0.024,11.92,12.56,11.76,14.2037333333333
11,2017-12-01 15:31:00,2017-12-01 15:32:00,10.9600166666667,5.8426,557.201666666667,0.553,2.30416666666667,0.3065,0.299666666666667,0.445166666666667,13.6183333333333,39.0831666666667,86.3283333333333,10.77,8.07,22.795,0.32,0.11,0.02,11.6,11.9666666666667,11.6,15.5913333333333
12,2017-12-01 15:33:00,2017-12-01 15:34:00,12.02605,5.84181666666667,557.223333333333,0.447,1.87716666666667,0.297166666666667,0.290666666666667,0.5295,13.631,39.1215,86.3,10.7693333333333,8.07,22.8033333333333,0.32,0.11,0.0216666666666667,11.4333333333333,11.7833333333333,11.6,17.1076
13,2017-12-01 15:35:00,2017-12-01 15:36:00,13.0900833333333,5.8404,557.366666666667,0.4775,2.00116666666667,0.337,0.332,0.457333333333333,13.6248333333333,39.102,86.295,10.767,8.07,22.7933333333333,0.32,0.11,0.02,11.3333333333333,11.5833333333333,11.6,18.6213333333333
14,2017-12-01 15:37:00,2017-12-01 15:38:00,13.9850333333333,5.8414,557.351666666667,0.498666666666667,2.08516666666667,0.274333333333333,0.266666666666667,0.442666666666667,13.6278333333333,39.1096666666667,86.26,10.76,8.07233333333333,22.7883333333333,0.32,0.11,0.02,11.2,11.4,11.6,19.8944166666667
15,2017-12-01 15:39:00,2017-12-01 15:40:00,15.0167666666667,5.83741666666667,557.365,0.525,2.19233333333333,0.318166666666667,0.312166666666667,0.466166666666667,13.6381666666667,39.1435,86.2,10.757,8.071,22.74,0.32,0.11,0.02,11.1,11.2,11.6,21.3622166666667
16,2017-12-01 15:41:00,2017-12-01 15:42:00,16.0667166666667,5.84078333333333,557.26,0.533833333333333,2.22683333333333,0.302,0.295333333333333,0.457166666666667,13.6388333333333,39.1421666666667,86.24,10.76,8.07466666666667,22.76,0.32,0.11,0.02,11.1,11.1,11.6,22.8557333333333
17,2017-12-01 15:43:00,2017-12-01 15:44:00,17.0659,5.83963333333333,557.291666666667,0.493166666666667,2.06316666666667,0.296333333333333,0.289,0.5195,13.6206666666667,39.0931666666667,86.28,10.7605,8.07933333333333,22.785,0.32,0.11,0.02,11,10.9666666666667,11.6,24.2773833333333
18,2017-12-01 15:45:00,2017-12-01 15:46:00,18.03485,5.8397,557.238333333333,0.575166666666667,2.396,0.2895,0.282833333333333,0.503,13.6315,39.121,86.3,10.7628333333333,8.08,22.79,0.32,0.11,0.02,10.9166666666667,10.9,11.6,25.6556333333333
