"Depth_Target","DateTime_Start","DateTime_End","Depthm","TempC","SpConduScm","ChlorophyllRFU","ChlorophyllugL","BGAPCRFU","BGAPCugL","TurbidityFNU","fDOMRFU","fDOMQSU","ODOsat","ODOmgL","pH","NITRATE_UM","NITRATE_MG","ABS_254","ABS_350","T_INT","T_SPEC","T_LAMP","Presspsia"
1,2018-02-16 14:40:00,2018-02-16 14:41:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.6033333333333,0.651666666666667,0.165,0.0683333333333333,3.01666666666667,3.76666666666667,4.61666666666667,NA
2,2018-02-16 14:42:00,2018-02-16 14:43:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.185,0.561666666666667,0.138333333333333,0.0483333333333333,3.46666666666667,3.96666666666667,5.36666666666667,NA
3,2018-02-16 14:44:00,2018-02-16 14:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.178,0.532,0.13,0.04,3.84,4.2,5.96,NA
4,2018-02-16 14:46:00,2018-02-16 14:47:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.828,0.53,0.124,0.04,4.18,4.38,6.42,NA
5,2018-02-16 14:48:00,2018-02-16 14:49:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.874,0.53,0.12,0.04,4.54,4.58,6.78,NA
6,2018-02-16 14:50:00,2018-02-16 14:51:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.42,0.524,0.12,0.04,4.84,4.8,6.96,NA
8,2018-02-16 14:52:00,2018-02-16 14:53:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.474,0.524,0.12,0.04,5.1,4.9,7.1,NA
10,2018-02-16 14:54:00,2018-02-16 14:55:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3666666666667,0.55,0.12,0.04,5.31666666666667,5.1,7.21666666666667,NA
12,2018-02-16 14:56:00,2018-02-16 14:57:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.52,0.551666666666667,0.12,0.03,5.5,5.2,7.38333333333333,NA
14,2018-02-16 14:58:00,2018-02-16 14:59:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.2683333333333,0.578333333333333,0.12,0.0316666666666667,5.65,5.33333333333333,7.45,NA
15,2018-02-16 15:00:00,2018-02-16 15:01:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.31,0.563333333333333,0.12,0.0333333333333333,5.83333333333333,5.43333333333333,7.6,NA
16,2018-02-16 15:02:00,2018-02-16 15:03:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.495,0.581666666666667,0.12,0.04,6.01666666666667,5.6,7.75,NA
17,2018-02-16 15:04:00,2018-02-16 15:05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.0533333333333,0.63,0.12,0.0366666666666667,6.16666666666667,5.76666666666667,7.81666666666667,NA
18,2018-02-16 15:06:00,2018-02-16 15:07:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.38,0.605,0.12,0.0366666666666667,6.31666666666667,5.88333333333333,7.9,NA
19,2018-02-16 15:08:00,2018-02-16 15:09:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.128,0.562,0.12,0.03,6.4,5.94,8,NA
20,2018-02-16 15:10:00,2018-02-16 15:11:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.472,0.706,0.12,0.04,6.6,6.1,8.1,NA
21,2018-02-16 15:12:00,2018-02-16 15:13:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.834,1.468,0.12,0.034,6.7,6.2,8.2,NA
22,2018-02-16 15:14:00,2018-02-16 15:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.11,2.496,0.11,0.03,6.8,6.26,8.2,NA
23,2018-02-16 15:16:00,2018-02-16 15:17:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.86,2.56,0.11,0.03,6.88,6.38,8.26,NA
