"Depth_Target","DateTime_Start","DateTime_End","Depthm","TempC","SpConduScm","ChlorophyllRFU","ChlorophyllugL","BGAPCRFU","BGAPCugL","TurbidityFNU","fDOMRFU","fDOMQSU","ODOsat","ODOmgL","pH","NITRATE_UM","NITRATE_MG","ABS_254","ABS_350","T_INT","T_SPEC","T_LAMP","Presspsia"
0,2018-07-17 10:35:00,2018-07-17 10:36:00,0.158133333333333,27.1211666666667,523.51,2.57783333333333,10.4741666666667,1.06533333333333,1.09283333333333,5.49266666666667,9.888,28.3958333333333,141.138333333333,11.2078333333333,8.83,9.172,0.13,0.14,0.04,29.74,29.26,30.12,0.224216666666667
1,2018-07-17 10:37:00,2018-07-17 10:38:00,0.906383333333333,27.1165333333333,523.545,3.48616666666667,14.1358333333333,1.20266666666667,1.23666666666667,5.62266666666667,9.9065,28.4446666666667,141.655,11.2505,8.83,9.036,0.13,0.14,0.04,30.18,29.64,31.02,1.2848
2,2018-07-17 10:39:00,2018-07-17 10:40:00,1.9979,27.0059833333333,524.385,3.021,12.2603333333333,1.14933333333333,1.18033333333333,5.645,10.1931666666667,29.2688333333333,137.015,10.9025,8.80266666666667,8.858,0.122,0.14,0.04,30.58,29.84,31.58,2.83231666666667
3,2018-07-17 10:41:00,2018-07-17 10:42:00,3.00315,26.88215,524.37,1.41733333333333,5.79283333333333,0.971,0.993333333333333,5.47016666666667,10.2806666666667,29.5186666666667,131.736666666667,10.5048333333333,8.77,8.556,0.12,0.14,0.04,30.82,30,31.86,4.25736666666667
4,2018-07-17 10:43:00,2018-07-17 10:44:00,3.99601666666667,26.848,524.293333333333,1.0375,4.26233333333333,0.967166666666667,0.990333333333333,5.6595,10.3191666666667,29.629,130.698333333333,10.4295,8.76816666666667,8.486,0.12,0.14,0.04,31.04,30.1,32,5.66505
5,2018-07-17 10:45:00,2018-07-17 10:46:00,5.01053333333333,26.8100666666667,524.656666666667,1.091,4.47633333333333,0.940666666666667,0.962333333333333,5.49266666666667,10.3315,29.6631666666667,130.6,10.4286666666667,8.77,8.5,0.12,0.14,0.04,31.2,30.2,32.1,7.10326666666667
6,2018-07-17 10:47:00,2018-07-17 10:48:00,6.0305,24.6826833333333,557.888333333333,0.855166666666667,3.52433333333333,0.620333333333333,0.627166666666667,4.9215,12.1213333333333,34.7943333333333,51.1816666666667,4.2475,8.1745,12.198,0.168,0.138,0.04,31.38,30.2,31.72,8.55428333333333
7,2018-07-17 10:49:00,2018-07-17 10:50:00,6.9754,20.62825,600.345,0.207,0.9125,0.116333333333333,0.101666666666667,2.02583333333333,14.3588333333333,41.207,1.99,0.178666666666667,7.62266666666667,34.338,0.48,0.12,0.02,31.06,30.04,30.26,9.90415
8,2018-07-17 10:51:00,2018-07-17 10:52:00,7.99823333333333,15.8325166666667,613.368333333333,0.135333333333333,0.621333333333333,0.092,0.0763333333333333,1.425,14.8756666666667,42.6865,0.573333333333333,0.057,7.47233333333333,58.664,0.822,0.11,0.02,30.02,29.26,27.88,11.3667166666667
9,2018-07-17 10:53:00,2018-07-17 10:54:00,8.9939,13.7414166666667,617.07,0.150666666666667,0.684333333333333,0.107666666666667,0.0923333333333333,1.0805,15.1155,43.375,0.163333333333333,0.0178333333333333,7.42,69.204,0.97,0.11,0.02,28.56,28.1,25.32,12.7858833333333
10,2018-07-17 10:55:00,2018-07-17 10:56:00,9.99231666666667,12.589,618.966666666667,0.1295,0.597666666666667,0.0931666666666667,0.078,0.955333333333333,15.16,43.501,-0.0516666666666667,-0.0055,7.403,74.604,1.046,0.116,0.028,26.94,26.8,23.08,14.2074666666667
11,2018-07-17 10:57:00,2018-07-17 10:58:00,10.9943,11.7053333333333,621.245,0.112333333333333,0.532,0.107666666666667,0.0935,0.835833333333333,15.3811666666667,44.136,-0.205,-0.0256666666666667,7.4,67.994,0.954,0.12,0.03,25.46,25.52,21.24,15.6336833333333
12,2018-07-17 10:59:00,2018-07-17 11:00:00,11.9974,10.4610833333333,622.68,0.115166666666667,0.539333333333333,0.107833333333333,0.0918333333333333,0.556833333333333,15.3695,44.103,-0.333333333333333,-0.04,7.38,71.2583333333333,1,0.12,0.03,23.9666666666667,24.2166666666667,19.6166666666667,17.06235
13,2018-07-17 11:01:00,2018-07-17 11:02:00,13.0066833333333,9.90458333333333,624.201666666667,0.120833333333333,0.564833333333333,0.107833333333333,0.0925,0.494333333333333,15.5546666666667,44.6335,-0.408333333333333,-0.05,7.37516666666667,63.5183333333333,0.89,0.12,0.03,22.6,23.0166666666667,18.35,18.4986166666667
14,2018-07-17 11:03:00,2018-07-17 11:04:00,13.9770333333333,9.41493333333333,625.628333333333,0.116,0.544333333333333,0.118166666666667,0.103,0.433166666666667,15.5065,44.496,-0.5,-0.06,7.36,61.3933333333333,0.86,0.12,0.03,21.3666666666667,21.8833333333333,17.3166666666667,19.87965
15,2018-07-17 11:05:00,2018-07-17 11:06:00,15.0286666666667,9.12035,626.466666666667,0.113333333333333,0.536166666666667,0.1255,0.111166666666667,0.388166666666667,15.516,44.5225,-0.6,-0.07,7.36,58.305,0.816666666666667,0.121666666666667,0.03,20.25,20.85,16.5333333333333,21.3758166666667
16,2018-07-17 11:07:00,2018-07-17 11:08:00,15.9873166666667,8.85998333333333,628.243333333333,0.109833333333333,0.519166666666667,0.109833333333333,0.094,0.468833333333333,15.5205,44.5353333333333,-0.6,-0.0701666666666667,7.35,52.7183333333333,0.74,0.125,0.0316666666666667,19.3,19.9,15.9,22.7401333333333
17,2018-07-17 11:09:00,2018-07-17 11:10:00,17.0020666666667,8.41606666666667,631.881666666667,0.1045,0.497166666666667,0.113833333333333,0.098,0.4135,15.551,44.6238333333333,-0.7,-0.08,7.31283333333333,33.2933333333333,0.465,0.13,0.0383333333333333,18.4166666666667,19.0333333333333,15.3333333333333,24.1840333333333
18,2018-07-17 11:11:00,2018-07-17 11:12:00,17.9924333333333,8.32006666666667,631.93,0.108166666666667,0.510166666666667,0.116833333333333,0.101666666666667,0.371,15.5485,44.618,-0.7,-0.0803333333333333,7.32,34.9616666666667,0.488333333333333,0.13,0.04,17.6666666666667,18.25,14.9,25.5930166666667
19,2018-07-17 11:13:00,2018-07-17 11:14:00,18.97545,8.24043333333333,633.476666666667,0.111,0.521333333333333,0.114166666666667,0.0998333333333333,0.4085,15.5973333333333,44.7548333333333,-0.7,-0.09,7.3095,29.45,0.411666666666667,0.13,0.04,16.9666666666667,17.5333333333333,14.6166666666667,26.99175
20,2018-07-17 11:15:00,2018-07-17 11:16:00,19.9698666666667,8.12628333333333,634.315,0.107333333333333,0.508,0.104,0.0885,0.479,15.5836666666667,44.7155,-0.8,-0.09,7.3,25.1833333333333,0.35,0.131666666666667,0.04,16.4166666666667,16.9333333333333,14.3666666666667,28.40655
21,2018-07-17 11:17:00,2018-07-17 11:18:00,20.9914833333333,8.08493333333333,636.628333333333,0.101666666666667,0.483166666666667,0.121,0.106833333333333,1.49483333333333,15.6025,44.7691666666667,-0.8,-0.09,7.29,18.0333333333333,0.25,0.14,0.04,15.8833333333333,16.35,14.1833333333333,29.8597
22,2018-07-17 12:27:00,2018-07-17 12:28:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6183333333333,0.233333333333333,0.16,0.0966666666666667,29.7166666666667,30.9666666666667,23.55,NA
23,2018-07-17 12:29:00,2018-07-17 12:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9666666666667,0.168333333333333,0.18,0.111666666666667,26.9833333333333,28.5,20.25,NA
