"Depth_Target","DateTime_Start","DateTime_End","Depthm","TempC","SpConduScm","ChlorophyllRFU","ChlorophyllugL","BGAPCRFU","BGAPCugL","TurbidityFNU","fDOMRFU","fDOMQSU","ODOsat","ODOmgL","pH","NITRATE_UM","NITRATE_MG","ABS_254","ABS_350","T_INT","T_SPEC","T_LAMP","Presspsia"
0,2018-06-12 10:43:00,2018-06-12 10:44:00,0.0808,20.4142166666667,587.1,0.109,0.517,0.0175,-0.00233333333333333,1.242,15.8188333333333,45.3895,84.2016666666667,7.58183333333333,8.58916666666667,36.13,0.504,0.13,0.03,30.28,29.5,28.72,0.11465
1,2018-06-12 10:45:00,2018-06-12 10:46:00,0.9476,20.1679666666667,586.648333333333,0.122333333333333,0.568666666666667,0.00766666666666667,-0.0123333333333333,1.2065,16.2688333333333,46.6776666666667,83.3,7.54,8.59,37.458,0.524,0.13,0.03,30.36,29.54,27.88,1.34558333333333
2,2018-06-12 10:47:00,2018-06-12 10:48:00,2.01458333333333,20.063,586.591666666667,0.145833333333333,0.665333333333333,0.00983333333333333,-0.0101666666666667,1.26516666666667,16.6161666666667,47.6743333333333,82.7116666666667,7.5,8.58333333333333,37.564,0.53,0.13,0.03,29.48,28.9,27.16,2.86066666666667
3,2018-06-12 10:49:00,2018-06-12 10:50:00,3.0155,20.0048166666667,586.566666666667,0.150166666666667,0.683166666666667,0.0186666666666667,-0.000666666666666667,1.25316666666667,16.6723333333333,47.8368333333333,82.6,7.49966666666667,8.58,37.634,0.53,0.13,0.03,28.76,28.3,26.64,4.28206666666667
4,2018-06-12 10:51:00,2018-06-12 10:52:00,4.06155,19.88665,586.65,0.153,0.694,0.0211666666666667,0.00166666666666667,1.331,16.5881666666667,47.5955,82.8066666666667,7.53616666666667,8.58,37.908,0.53,0.13,0.03,28.12,27.74,26.2,5.76773333333333
5,2018-06-12 10:53:00,2018-06-12 10:54:00,5.00836666666667,19.5711333333333,586.743333333333,0.131,0.604833333333333,0.0315,0.0133333333333333,1.06166666666667,16.0531666666667,46.0621666666667,84.0733333333333,7.69733333333333,8.57,39.102,0.55,0.13,0.03,27.6,27.24,25.88,7.11273333333333
6,2018-06-12 10:55:00,2018-06-12 10:56:00,6.0042,19.4081833333333,587.058333333333,0.116666666666667,0.545166666666667,0.0223333333333333,0.003,0.947,15.9091666666667,45.6493333333333,83.6733333333333,7.68533333333333,8.55466666666667,39.425,0.55,0.13,0.03,27.1333333333333,26.8166666666667,25.5666666666667,8.5273
7,2018-06-12 10:57:00,2018-06-12 10:58:00,7.01118333333333,16.0731,599.42,0.12,0.558,0.066,0.0491666666666667,0.682333333333333,14.9813333333333,42.9886666666667,64.2616666666667,6.32216666666667,8.20433333333333,50.3483333333333,0.706666666666667,0.121666666666667,0.03,26.6833333333333,26.3,24.75,9.96358333333333
8,2018-06-12 10:59:00,2018-06-12 11:00:00,8.00266666666667,14.1763,604.238333333333,0.123,0.572,0.084,0.0671666666666667,0.583166666666667,14.8003333333333,42.4736666666667,54.5433333333333,5.58766666666667,8.00133333333333,57.7883333333333,0.81,0.12,0.03,25.8833333333333,25.65,23.4333333333333,11.3758833333333
9,2018-06-12 11:01:00,2018-06-12 11:02:00,9.0308,12.54915,606.126666666667,0.105166666666667,0.498833333333333,0.1075,0.0918333333333333,0.508166666666667,14.8185,42.5243333333333,47.9083333333333,5.089,7.87066666666667,61.0783333333333,0.856666666666667,0.121666666666667,0.03,24.85,24.75,22,12.8402166666667
