"Depth_Target","DateTime_Start","DateTime_End","Depthm","TempC","SpConduScm","ChlorophyllRFU","ChlorophyllugL","BGAPCRFU","BGAPCugL","TurbidityFNU","fDOMRFU","fDOMQSU","ODOsat","ODOmgL","pH","NITRATE_UM","NITRATE_MG","ABS_254","ABS_350","T_INT","T_SPEC","T_LAMP","Presspsia"
0,2018-06-01 10:42:00,2018-06-01 10:43:00,0.175583333333333,23.73005,542.496666666667,0.374166666666667,1.587,2.28483333333333,2.36616666666667,6.75533333333333,13.42,38.5173333333333,153.841666666667,12.998,8.85533333333333,42.18,0.59,0.13,0.03,25.44,26.24,26.54,0.249183333333333
1,2018-06-01 10:44:00,2018-06-01 10:45:00,0.887166666666667,23.7086666666667,542.368333333333,0.4165,1.75616666666667,2.63866666666667,2.736,8.07933333333333,13.4141666666667,38.4978333333333,155.471666666667,13.1411666666667,8.86083333333333,41.976,0.59,0.134,0.034,26.08,26.54,27.44,1.25871666666667
2,2018-06-01 10:46:00,2018-06-01 10:47:00,1.99723333333333,23.66235,542.423333333333,0.3875,1.638,3.09866666666667,3.21516666666667,8.142,13.415,38.5008333333333,155.218333333333,13.1308333333333,8.85566666666667,41.858,0.588,0.134,0.03,26.6,26.72,28.04,2.83373333333333
3,2018-06-01 10:48:00,2018-06-01 10:49:00,2.9735,23.5256333333333,543.363333333333,0.3445,1.46516666666667,2.31066666666667,2.3925,6.727,13.627,39.111,150.583333333333,12.7718333333333,8.83616666666667,42.564,0.596,0.13,0.03,26.94,26.84,28.36,4.2192
4,2018-06-01 10:50:00,2018-06-01 10:51:00,4.00101666666667,18.9158666666667,559.491666666667,0.119166666666667,0.557333333333333,0.103,0.0865,0.6345,14.5575,41.7753333333333,83.3866666666667,7.732,8.3745,50.468,0.706,0.12,0.02,27.18,26.88,27.58,5.68295
5,2018-06-01 10:52:00,2018-06-01 10:53:00,5.02228333333333,15.0531333333333,556.22,0.186,0.825333333333333,0.0623333333333333,0.045,0.2605,14.8676666666667,42.6645,74.74,7.51433333333333,8.28,53.89,0.756,0.114,0.02,26.6,26.38,25.6,7.13818333333333
6,2018-06-01 10:54:00,2018-06-01 10:55:00,6.00886666666667,13.6826,556.856666666667,0.153166666666667,0.691333333333333,0.0728333333333333,0.056,0.235,14.761,42.3581666666667,71.8,7.4395,8.23733333333333,54.516,0.762,0.12,0.02,25.52,25.5,23.66,8.54205
7,2018-06-01 10:56:00,2018-06-01 10:57:00,7.00346666666667,12.7872833333333,559.395,0.146833333333333,0.669833333333333,0.0868333333333333,0.07,0.228666666666667,14.6861666666667,42.1466666666667,67.6966666666667,7.15633333333333,8.17,54.816,0.77,0.12,0.02,24.38,24.44,21.94,9.95723333333333
8,2018-06-01 10:58:00,2018-06-01 10:59:00,8.02476666666667,12.4441333333333,560.5,0.1295,0.599166666666667,0.0921666666666667,0.0766666666666667,0.223666666666667,14.6968333333333,42.173,66.5533333333333,7.08866666666667,8.15,55.222,0.77,0.12,0.02,23.28,23.48,20.66,11.4097
9,2018-06-01 11:00:00,2018-06-01 11:01:00,9.02991666666667,11.7141,562.275,0.1155,0.539666666666667,0.086,0.0696666666666667,0.238666666666667,14.6828333333333,42.1343333333333,64.7266666666667,7.01233333333333,8.12,55.254,0.77,0.12,0.03,22.3,22.6,19.58,12.8399666666667
