"Depth_Target","DateTime_Start","DateTime_End","Depthm","TempC","SpConduScm","ChlorophyllRFU","ChlorophyllugL","BGAPCRFU","BGAPCugL","TurbidityFNU","fDOMRFU","fDOMQSU","ODOsat","ODOmgL","pH","Presspsia"
0,2019-02-18 15:00:00,2019-02-18 15:01:00,0.662366666666667,0.476916666666667,577.571666666667,5.99083333333333,24.2365,0.896333333333333,0.915833333333333,147.561833333333,15.9231666666667,45.6911666666667,93.9633333333333,13.5308333333333,7.99116666666667,0.942133333333333
1,2019-02-18 15:02:00,2019-02-18 15:03:00,1.64223333333333,0.674833333333333,560.428333333333,5.4875,22.2088333333333,0.792166666666667,0.807,0.441666666666667,15.8973333333333,45.616,91.57,13.1138333333333,7.95416666666667,2.33593333333333
2,2019-02-18 15:04:00,2019-02-18 15:05:00,2.64908333333333,0.668,559.963333333333,4.12166666666667,16.6983333333333,0.665333333333333,0.674166666666667,0.402833333333333,15.9721666666667,45.8326666666667,90.44,12.9565,7.93,3.7681
3,2019-02-18 15:06:00,2019-02-18 15:07:00,3.63618333333333,0.682483333333333,559.828333333333,3.63733333333333,14.7476666666667,0.5635,0.5685,0.4085,16.0521666666667,46.0595,90.57,12.965,7.93,5.17223333333333
4,2019-02-18 15:08:00,2019-02-18 15:09:00,4.75426666666667,0.636266666666667,560.5,2.53066666666667,10.2831666666667,0.431666666666667,0.430666666666667,0.4085,16.0926666666667,46.1778333333333,90.225,12.9328333333333,7.916,6.76258333333333
5,2019-02-18 15:10:00,2019-02-18 15:11:00,5.57508333333333,0.658866666666667,560.138333333333,2.12583333333333,8.64883333333333,0.365166666666667,0.3595,0.3785,16.1521666666667,46.3471666666667,89.2183333333333,12.7861666666667,7.89,7.93021666666667
6,2019-02-18 15:12:00,2019-02-18 15:13:00,6.63345,0.652516666666667,560.783333333333,1.98783333333333,8.09133333333333,0.389833333333333,0.387666666666667,0.425666666666667,16.1216666666667,46.2601666666667,89.7733333333333,12.86,7.9,9.43555
7,2019-02-18 15:14:00,2019-02-18 15:15:00,7.54856666666667,0.644466666666667,560.836666666667,1.95866666666667,7.97783333333333,0.3495,0.344166666666667,0.351166666666667,16.1493333333333,46.3391666666667,88.9716666666667,12.7531666666667,7.89,10.7373833333333
8,2019-02-18 15:16:00,2019-02-18 15:17:00,8.5823,0.65285,560.553333333333,2.04133333333333,8.3095,0.381833333333333,0.3785,0.424833333333333,16.1288333333333,46.2806666666667,89.4,12.81,7.9,12.2078666666667
9,2019-02-18 15:18:00,2019-02-18 15:19:00,9.618,0.635866666666667,561.188333333333,1.70333333333333,6.94433333333333,0.334,0.327666666666667,0.383333333333333,16.203,46.4923333333333,88.8733333333333,12.741,7.88,13.681
10,2019-02-18 15:20:00,2019-02-18 15:21:00,10.6532666666667,0.64315,562.873333333333,0.7585,3.13483333333333,0.227833333333333,0.2175,0.377666666666667,16.3656666666667,46.9588333333333,84.9816666666667,12.1805,7.81983333333333,15.1538166666667
11,2019-02-18 15:22:00,2019-02-18 15:23:00,11.58185,0.69385,564.261666666667,0.466,1.953,0.362666666666667,0.3585,0.343666666666667,16.3825,47.0055,82.3466666666667,11.7858333333333,7.78,16.47485
12,2019-02-18 15:24:00,2019-02-18 15:25:00,12.6489833333333,0.7669,566.998333333333,0.562166666666667,2.34216666666667,0.198,0.1875,0.487333333333333,17.0968333333333,49.0543333333333,82.8583333333333,11.8346666666667,7.77316666666667,17.99305
13,2019-02-18 15:26:00,2019-02-18 15:27:00,13.489,0.817166666666667,568.178333333333,0.503,2.1025,0.201166666666667,0.190166666666667,0.597833333333333,16.8698333333333,48.4001666666667,82.1016666666667,11.7105,7.74416666666667,19.18755
14,2019-02-18 15:28:00,2019-02-18 15:29:00,14.5000833333333,0.906883333333333,567.79,1.81883333333333,7.4115,0.336833333333333,0.331833333333333,0.495666666666667,16.5013333333333,47.3448333333333,85.7966666666667,12.2075,7.81966666666667,20.6261166666667
15,2019-02-18 15:30:00,2019-02-18 15:31:00,15.4434666666667,1.02665,565.146666666667,1.43833333333333,5.87633333333333,0.288666666666667,0.280833333333333,0.4305,16.2481666666667,46.6201666666667,86.4966666666667,12.2658333333333,7.82,21.9682833333333
16,2019-02-18 15:32:00,2019-02-18 15:33:00,16.41685,1.15928333333333,564.275,1.07183333333333,4.40033333333333,0.253833333333333,0.244666666666667,0.454,16.2105,46.512,81.7366666666667,11.5476666666667,7.76783333333333,23.3531333333333
17,2019-02-18 15:34:00,2019-02-18 15:35:00,17.36245,1.12116666666667,583.808333333333,0.638833333333333,2.65183333333333,0.195166666666667,0.1835,0.644833333333333,16.9246666666667,48.5615,75.7616666666667,10.7145,7.63133333333333,24.6983666666667
18,2019-02-18 15:36:00,2019-02-18 15:37:00,18.3423,1.23948333333333,586.393333333333,0.745666666666667,3.08433333333333,0.257,0.248166666666667,0.635666666666667,16.868,48.3948333333333,70.7366666666667,9.97083333333333,7.58,26.0925
19,2019-02-18 15:38:00,2019-02-18 15:39:00,19.3596666666667,1.30881666666667,588.425,0.242333333333333,1.04983333333333,0.169,0.156833333333333,0.519,17.1348333333333,49.1625,55.5316666666667,7.81216666666667,7.447,27.54005
20,2019-02-18 15:40:00,2019-02-18 15:41:00,20.3319,1.09543333333333,629.488333333333,0.1825,0.81,0.161166666666667,0.148,0.6055,16.8071666666667,48.2241666666667,59.06,8.357,7.44533333333333,28.9233333333333
