"Depth_Target","DateTime_Start","DateTime_End","Depthm","TempC","SpConduScm","ChlorophyllRFU","ChlorophyllugL","BGAPCRFU","BGAPCugL","TurbidityFNU","fDOMRFU","fDOMQSU","ODOsat","ODOmgL","pH","NITRATE_UM","NITRATE_MG","ABS_254","ABS_350","T_INT","T_SPEC","T_LAMP","Presspsia"
0,2018-12-07 13:21:00,2018-12-07 13:22:00,0.0523666666666667,2.5312,567.331666666667,0.261,1.12783333333333,0.268833333333333,0.260833333333333,0.93,16.25,46.6283333333333,88.5883333333333,12.0543333333333,8.022,38.324,0.54,0.14,0.05,8.74,11.5,10.16,0.0744833333333333
1,2018-12-07 13:23:00,2018-12-07 13:24:00,1.03821666666667,2.54141666666667,584.703333333333,0.168333333333333,0.755,0.205333333333333,0.194166666666667,0.554,16.3775,46.9925,88.4133333333333,12.0286666666667,8.00933333333333,38.292,0.54,0.142,0.05,8.6,11,9.64,1.4768
2,2018-12-07 13:25:00,2018-12-07 13:26:00,2.09151666666667,2.5422,584.808333333333,0.182666666666667,0.811666666666667,0.204333333333333,0.193333333333333,0.498166666666667,16.4498333333333,47.1985,88.4,12.03,8.01,38.234,0.538,0.146,0.05,8.5,10.5,9.18,2.97525
3,2018-12-07 13:27:00,2018-12-07 13:28:00,3.16121666666667,2.53786666666667,584.851666666667,0.242666666666667,1.05283333333333,0.2205,0.209833333333333,0.499,16.4545,47.2121666666667,88.41,12.03,8.01,38.18,0.536,0.15,0.05,8.38,10.06,8.88,4.49688333333333
4,2018-12-07 13:29:00,2018-12-07 13:30:00,4.11185,2.53873333333333,584.855,0.2275,0.995833333333333,0.204666666666667,0.193,0.609,16.4441666666667,47.183,88.5,12.04,8.02,38.176,0.534,0.15,0.05,8.2,9.66,8.72,5.84923333333333
5,2018-12-07 13:31:00,2018-12-07 13:32:00,5.07373333333333,2.54058333333333,584.961666666667,0.218666666666667,0.957833333333333,0.224833333333333,0.214666666666667,0.562333333333333,16.4623333333333,47.2361666666667,88.4,12.03,8.02,38.258,0.54,0.15,0.05,8.1,9.32,8.6,7.21761666666667
6,2018-12-07 13:33:00,2018-12-07 13:34:00,6.14733333333333,2.54221666666667,584.988333333333,0.216,0.946833333333333,0.213,0.202,0.5825,16.4531666666667,47.2073333333333,88.4,12.03,8.02,38.304,0.54,0.15,0.05,8.02,9.04,8.48,8.745
7,2018-12-07 13:35:00,2018-12-07 13:36:00,7.05021666666667,2.54163333333333,585.006666666667,0.218833333333333,0.959,0.2195,0.209666666666667,0.568166666666667,16.4608333333333,47.2313333333333,88.5,12.0315,8.02,38.262,0.538,0.15,0.05,7.9,8.8,8.4,10.0293166666667
8,2018-12-07 13:37:00,2018-12-07 13:38:00,8.14378333333333,2.54145,585.018333333333,0.207333333333333,0.909833333333333,0.210666666666667,0.2,0.533333333333333,16.4536666666667,47.2106666666667,88.5,12.0301666666667,8.02,38.3,0.54,0.15,0.05,7.84,8.58,8.4,11.5850833333333
9,2018-12-07 13:39:00,2018-12-07 13:40:00,9.02441666666667,2.54071666666667,584.923333333333,0.217833333333333,0.954833333333333,0.209,0.198166666666667,0.576166666666667,16.4516666666667,47.2048333333333,88.5,12.04,8.02,38.264,0.54,0.15,0.05,7.8,8.34,8.4,12.8377833333333
10,2018-12-07 13:41:00,2018-12-07 13:42:00,9.8985,2.54876666666667,585.408333333333,0.206166666666667,0.908333333333333,0.205333333333333,0.1945,0.612,16.4868333333333,47.3045,88.325,12.0133333333333,8.02,38.946,0.548,0.15,0.05,7.7,8.16,8.4,14.0814166666667
11,2018-12-07 13:43:00,2018-12-07 13:44:00,11.0232333333333,2.55066666666667,585.568333333333,0.221333333333333,0.967166666666667,0.217333333333333,0.206666666666667,0.558,16.4963333333333,47.3336666666667,88.295,12.0053333333333,8.01966666666667,39.122,0.55,0.15,0.05,7.6,8,8.38,15.6812166666667
12,2018-12-07 13:45:00,2018-12-07 13:46:00,11.9496166666667,2.54938333333333,585.601666666667,0.229833333333333,1.00233333333333,0.225166666666667,0.215166666666667,0.548,16.4881666666667,47.3115,88.3,12.01,8.02,39.08,0.55,0.15,0.05,7.6,7.9,8.36,16.99925
13,2018-12-07 13:47:00,2018-12-07 13:48:00,13.0482833333333,2.55,585.606666666667,0.232833333333333,1.01416666666667,0.214666666666667,0.203833333333333,0.554333333333333,16.493,47.3236666666667,88.3,12.01,8.02,39.104,0.55,0.15,0.05,7.6,7.8,8.34,18.5622333333333
14,2018-12-07 13:49:00,2018-12-07 13:50:00,13.9773333333333,2.54875,585.533333333333,0.219333333333333,0.96,0.2145,0.2035,0.576666666666667,16.4871666666667,47.3063333333333,88.4,12.02,8.02,38.992,0.55,0.15,0.05,7.52,7.66,8.38,19.8840166666667
