"Depth_Target","DateTime_Start","DateTime_End","Depthm","TempC","SpConduScm","ChlorophyllRFU","ChlorophyllugL","BGAPCRFU","BGAPCugL","TurbidityFNU","fDOMRFU","fDOMQSU","ODOsat","ODOmgL","pH","NITRATE_UM","NITRATE_MG","ABS_254","ABS_350","T_INT","T_SPEC","T_LAMP","Presspsia"
0,2017-11-22 11:36:00,2017-11-22 11:37:00,0.408583333333333,6.42173333333333,528.983333333333,0.184833333333333,0.817166666666667,0.258166666666667,0.248833333333333,0.605,13.7138333333333,39.3573333333333,87.445,10.7535,8.0185,20.704,0.29,0.11,0.03,14.7,17.26,15.68,0.58125
1,2017-11-22 11:38:00,2017-11-22 11:39:00,0.922116666666667,6.38298333333333,528.76,0.213333333333333,0.936833333333333,0.294333333333333,0.287666666666667,0.602,13.8265,39.6815,87.755,10.8,8.05,20.668,0.29,0.11,0.03,14.26,16.56,14.6,1.3117
2,2017-11-22 11:40:00,2017-11-22 11:41:00,1.95343333333333,6.36785,528.761666666667,0.244833333333333,1.05966666666667,0.301333333333333,0.294333333333333,0.640333333333333,13.9528333333333,40.044,87.7583333333333,10.8046666666667,8.05566666666667,20.59,0.29,0.11,0.03,13.8166666666667,15.7833333333333,13.7666666666667,2.77871666666667
3,2017-11-22 11:42:00,2017-11-22 11:43:00,2.93103333333333,6.35091666666667,528.903333333333,0.334,1.42283333333333,0.3145,0.309,0.652,14.017,40.2291666666667,87.7,10.8,8.05716666666667,20.5066666666667,0.29,0.11,0.03,13.45,15.15,13.15,4.16926666666667
4,2017-11-22 11:44:00,2017-11-22 11:45:00,3.88638333333333,6.33671666666667,528.9,0.351833333333333,1.49566666666667,0.3475,0.343,0.6045,14.062,40.3585,87.4366666666667,10.7763333333333,8.05,20.4716666666667,0.29,0.11,0.03,13.1333333333333,14.5666666666667,12.8166666666667,5.52826666666667
5,2017-11-22 11:46:00,2017-11-22 11:47:00,4.94716666666667,6.32646666666667,528.903333333333,0.312,1.33533333333333,0.354666666666667,0.350833333333333,0.6015,14.0616666666667,40.3546666666667,87.4,10.77,8.05,20.4816666666667,0.29,0.11,0.03,12.8333333333333,14.0666666666667,12.5666666666667,7.0372
6,2017-11-22 11:48:00,2017-11-22 11:49:00,5.92771666666667,6.3265,528.901666666667,0.319833333333333,1.3635,0.324,0.318666666666667,0.589833333333333,14.0635,40.3606666666667,87.4,10.77,8.05,20.43,0.29,0.11,0.03,12.6,13.6666666666667,12.4,8.43215
7,2017-11-22 11:50:00,2017-11-22 11:51:00,6.90588333333333,6.3036,528.973333333333,0.325,1.38333333333333,0.355166666666667,0.3505,0.575666666666667,14.0615,40.3551666666667,87.3,10.7681666666667,8.04733333333333,20.4533333333333,0.29,0.11,0.03,12.3833333333333,13.25,12.2333333333333,9.82348333333333
8,2017-11-22 11:52:00,2017-11-22 11:53:00,7.94326666666667,6.30238333333333,529.01,0.307833333333333,1.31683333333333,0.351333333333333,0.345666666666667,0.574166666666667,14.0713333333333,40.383,87.2983333333333,10.76,8.04566666666667,20.4166666666667,0.29,0.11,0.03,12.2,12.9333333333333,12.2,11.29925
9,2017-11-22 11:54:00,2017-11-22 11:55:00,8.89833333333333,6.28695,529.061666666667,0.3065,1.31033333333333,0.348166666666667,0.343833333333333,0.608166666666667,14.0755,40.3948333333333,87.2,10.76,8.04,20.448,0.29,0.11,0.03,12.06,12.62,12.14,12.6579166666667
10,2017-11-22 11:57:00,2017-11-22 11:58:00,9.9406,6.2728,529.111666666667,0.3275,1.39866666666667,0.318833333333333,0.313333333333333,0.6645,14.079,40.4036666666667,87.2,10.76,8.04,20.485,0.29,0.11,0.03,11.8166666666667,12.2333333333333,12.1,14.1405166666667
