"Depth_Target","DateTime_Start","DateTime_End","Depthm","TempC","SpConduScm","ChlorophyllRFU","ChlorophyllugL","BGAPCRFU","BGAPCugL","TurbidityFNU","fDOMRFU","fDOMQSU","ODOsat","ODOmgL","pH","NITRATE_UM","NITRATE_MG","ABS_254","ABS_350","T_INT","T_SPEC","T_LAMP","Presspsia"
0,2018-08-08 10:31:00,2018-08-08 10:32:00,0.198583333333333,24.5081333333333,524.868333333333,0.287833333333333,1.23533333333333,0.499166666666667,0.500666666666667,2.4185,9.8155,28.1871666666667,123.43,10.2788333333333,8.78,8.48666666666667,0.12,0.11,0.0183333333333333,27.7166666666667,27.15,29.3333333333333,0.28175
1,2018-08-08 10:36:00,2018-08-08 10:37:00,0.979183333333333,24.4032333333333,524.796666666667,0.357166666666667,1.51466666666667,0.456833333333333,0.457,2.59083333333333,9.98516666666667,28.6718333333333,123.078333333333,10.2685,8.77316666666667,8.416,0.12,0.11,0.016,28.6,27.68,29.8,1.38903333333333
2,2018-08-08 10:38:00,2018-08-08 10:39:00,2.04731666666667,24.3246333333333,524.885,0.306,1.30916666666667,0.552166666666667,0.556833333333333,2.49733333333333,10.114,29.0411666666667,121.995,10.1935,8.76,8.35,0.12,0.11,0.014,28.8,27.8,29.8,2.90428333333333
3,2018-08-08 10:40:00,2018-08-08 10:41:00,2.92858333333333,24.3031,525.123333333333,0.280833333333333,1.2095,0.549833333333333,0.553166666666667,2.5475,10.1693333333333,29.1988333333333,120.625,10.0828333333333,8.76,8.332,0.12,0.11,0.012,28.9,27.9,29.8,4.15446666666667
4,2018-08-08 10:42:00,2018-08-08 10:43:00,3.99683333333333,24.1756333333333,528.26,0.235166666666667,1.022,0.633166666666667,0.640833333333333,2.43,10.5421666666667,30.2685,111.881666666667,9.37516666666667,8.69533333333333,8.034,0.11,0.11,0.01,29,27.9,29.8,5.67008333333333
5,2018-08-08 10:44:00,2018-08-08 10:45:00,4.96896666666667,23.8811333333333,533.795,0.198166666666667,0.875666666666667,0.5425,0.545166666666667,2.10883333333333,11.0781666666667,31.8011666666667,99.755,8.40483333333333,8.61,7.562,0.11,0.1,0.01,29.1,27.9,29.72,7.0498
6,2018-08-08 10:46:00,2018-08-08 10:47:00,6.02855,23.8113,534.876666666667,0.184666666666667,0.8215,0.4655,0.466333333333333,1.70366666666667,11.1253333333333,31.9371666666667,97.3583333333333,8.21383333333333,8.59,7.52,0.106,0.1,0.01,29.1,27.9,29.6,8.55333333333333
7,2018-08-08 10:48:00,2018-08-08 10:49:00,6.94481666666667,23.33235,540.78,0.1695,0.760333333333333,0.393166666666667,0.390333333333333,1.517,11.562,33.1903333333333,77.825,6.625,8.45,7.868,0.11,0.1,0.01,29.1,27.9,29.4,9.85441666666667
8,2018-08-08 10:50:00,2018-08-08 10:51:00,8.00673333333333,21.8115,558.786666666667,0.1305,0.6015,0.234666666666667,0.2245,1.26333333333333,12.7121666666667,36.4895,27.0266666666667,2.3675,7.93,11.94,0.17,0.1,0.01,29,27.86,28.88,11.3654333333333
9,2018-08-08 10:52:00,2018-08-08 10:53:00,8.97816666666667,17.6235166666667,600.088333333333,0.1285,0.591166666666667,0.138666666666667,0.124666666666667,0.862333333333333,14.6586666666667,42.0653333333333,2.18,0.207333333333333,7.53416666666667,24.384,0.342,0.1,0.01,28.68,27.58,27.78,12.7553333333333
10,2018-08-08 10:54:00,2018-08-08 10:55:00,10.0321166666667,12.7836833333333,617.936666666667,0.125666666666667,0.5815,0.148666666666667,0.134666666666667,0.725166666666667,15.3385,44.0141666666667,0.453333333333333,0.0503333333333333,7.40833333333333,45.84,0.64,0.108,0.01,27.68,26.86,25.28,14.26365
11,2018-08-08 10:56:00,2018-08-08 10:57:00,10.9863,11.7281333333333,619.96,0.114,0.535166666666667,0.147333333333333,0.133833333333333,0.553833333333333,15.5215,44.5376666666667,0.216666666666667,0.0243333333333333,7.38,43.058,0.604,0.11,0.012,26.1,25.62,22.9,15.6223
