"Depth_Target","DateTime_Start","DateTime_End","Depthm","TempC","SpConduScm","ChlorophyllRFU","ChlorophyllugL","BGAPCRFU","BGAPCugL","TurbidityFNU","fDOMRFU","fDOMQSU","ODOsat","ODOmgL","pH","NITRATE_UM","NITRATE_MG","ABS_254","ABS_350","T_INT","T_SPEC","T_LAMP","Presspsia"
0,2017-10-29 15:35:00,2017-10-29 15:36:00,0.478083333333333,13.0935666666667,543.191666666667,0.410833333333333,1.73233333333333,0.643666666666667,0.652333333333333,1.35083333333333,13.0378333333333,37.4211666666667,62.4583333333333,6.5565,7.76,10.302,0.142,0.11,0.03,18.3,19.22,18.8,0.679683333333333
1,2017-10-29 15:37:00,2017-10-29 15:38:00,0.982916666666667,13.0895666666667,543.285,0.430333333333333,1.81033333333333,0.622333333333333,0.629666666666667,1.28866666666667,13.0348333333333,37.4101666666667,62.49,6.55933333333333,7.76816666666667,10.266,0.14,0.11,0.03,18.3,19,18.8,1.39745
2,2017-10-29 15:39:00,2017-10-29 15:40:00,2.0214,13.0911,543.29,0.414,1.745,0.695166666666667,0.706333333333333,1.40466666666667,13.0303333333333,37.398,62.4833333333333,6.55866666666667,7.76866666666667,10.225,0.14,0.11,0.03,18.2833333333333,18.8,18.8,2.87368333333333
3,2017-10-29 15:41:00,2017-10-29 15:42:00,3.04521666666667,13.0849166666667,543.221666666667,0.405,1.70683333333333,0.681,0.6915,1.3365,13.0638333333333,37.4955,61.9883333333333,6.50866666666667,7.76,10.1816666666667,0.14,0.11,0.03,18.2666666666667,18.6,18.8,4.32936666666667
4,2017-10-29 15:43:00,2017-10-29 15:44:00,4.02813333333333,13.0903166666667,543.225,0.401333333333333,1.69383333333333,0.6645,0.674,1.337,13.0446666666667,37.437,62.175,6.5275,7.76033333333333,10.18,0.14,0.111666666666667,0.03,18.2,18.4,18.8,5.72668333333333
5,2017-10-29 15:45:00,2017-10-29 15:46:00,5.0282,13.0850833333333,543.345,0.405666666666667,1.7105,0.655,0.662833333333333,1.32516666666667,13.0651666666667,37.4985,61.8183333333333,6.49166666666667,7.76,10.145,0.14,0.111666666666667,0.03,18.2,18.2333333333333,18.8,7.14841666666667
6,2017-10-29 15:47:00,2017-10-29 15:48:00,6.05093333333333,13.0770333333333,543.266666666667,0.413,1.74033333333333,0.631833333333333,0.639833333333333,1.3555,13.0731666666667,37.5223333333333,61.76,6.48616666666667,7.76,10.1466666666667,0.14,0.11,0.03,18.2,18.1166666666667,18.8,8.60238333333333
7,2017-10-29 15:49:00,2017-10-29 15:50:00,6.99761666666667,13.0698666666667,543.143333333333,0.411166666666667,1.734,0.636,0.643833333333333,1.2625,13.0803333333333,37.5441666666667,61.7,6.48,7.76,10.1383333333333,0.14,0.111666666666667,0.03,18.2,18.0333333333333,18.7666666666667,9.94835
8,2017-10-29 15:51:00,2017-10-29 15:52:00,8.07738333333333,13.0749166666667,543.173333333333,0.396333333333333,1.67283333333333,0.630666666666667,0.639166666666667,1.30116666666667,13.0663333333333,37.5021666666667,61.8333333333333,6.49533333333333,7.76,10.135,0.14,0.11,0.03,18.2,17.9,18.75,11.4835166666667
9,2017-10-29 15:53:00,2017-10-29 15:54:00,9.04356666666667,13.0674666666667,543.193333333333,0.416166666666667,1.75316666666667,0.637333333333333,0.645333333333333,1.30866666666667,13.0856666666667,37.559,61.7466666666667,6.48716666666667,7.76016666666667,10.1533333333333,0.14,0.111666666666667,0.03,18.1833333333333,17.85,18.7666666666667,12.8571666666667
10,2017-10-29 15:55:00,2017-10-29 15:56:00,10.0706833333333,13.0636166666667,543.183333333333,0.3955,1.66783333333333,0.602333333333333,0.6085,1.32066666666667,13.0906666666667,37.5728333333333,61.7333333333333,6.4895,7.76,10.144,0.14,0.11,0.03,18.1,17.8,18.78,14.3174666666667
11,2017-10-29 15:57:00,2017-10-29 15:58:00,11.1108666666667,13.0516666666667,543.05,0.398833333333333,1.68366666666667,0.606,0.6115,1.27,13.1035,37.6096666666667,61.8,6.49516666666667,7.76,10.172,0.14,0.11,0.03,18.1,17.7,18.74,15.79645
12,2017-10-29 15:59:00,2017-10-29 16:00:00,12.0626666666667,12.9997833333333,542.5,0.390666666666667,1.651,0.6085,0.614,1.28183333333333,13.1488333333333,37.7401666666667,62.4216666666667,6.5665,7.77,10.248,0.14,0.11,0.03,18.1,17.62,18.7,17.1497
13,2017-10-29 16:01:00,2017-10-29 16:02:00,13.0727833333333,12.9822166666667,542.426666666667,0.368333333333333,1.56116666666667,0.6075,0.615166666666667,1.29016666666667,13.1533333333333,37.7491666666667,62.8,6.61,7.77,10.304,0.14,0.11,0.03,18.1,17.6,18.7,18.58585
14,2017-10-29 16:03:00,2017-10-29 16:04:00,14.0466666666667,12.9724666666667,542.255,0.3955,1.671,0.601833333333333,0.608666666666667,1.2305,13.1426666666667,37.721,63.2533333333333,6.6575,7.78,10.32,0.142,0.11,0.03,18.1,17.54,18.7,19.9705666666667
