"Depth_Target","DateTime_Start","DateTime_End","Depthm","TempC","SpConduScm","ChlorophyllRFU","ChlorophyllugL","BGAPCRFU","BGAPCugL","TurbidityFNU","fDOMRFU","fDOMQSU","ODOsat","ODOmgL","pH","Presspsia"
0,2019-12-09 12:40:00,2019-12-09 12:41:00,2.47366666666667,3.33748333333333,525.911666666667,0.2005,0.887,0.150833333333333,0.136833333333333,0.513,16.4856666666667,47.302,91.88,12.2343333333333,9.176,3.51871666666667
1,2019-12-09 12:42:00,2019-12-09 12:43:00,3.49205,3.33786666666667,526.075,0.179333333333333,0.799166666666667,0.1555,0.1415,0.527333333333333,16.5083333333333,47.3713333333333,91.745,12.22,9.11,4.96745
2,2019-12-09 12:44:00,2019-12-09 12:45:00,4.59975,3.33008333333333,526.093333333333,0.171833333333333,0.769833333333333,0.162,0.149333333333333,0.544666666666667,16.507,47.361,91.8,12.2236666666667,9.09216666666667,6.54323333333333
3,2019-12-09 12:46:00,2019-12-09 12:47:00,5.01263333333333,3.33426666666667,526.123333333333,0.174166666666667,0.7765,0.159333333333333,0.144666666666667,0.540666666666667,16.508,47.3648333333333,91.81,12.2305,9.07033333333333,7.13065
4,2019-12-09 12:48:00,2019-12-09 12:49:00,5.68023333333333,3.31711666666667,525.786666666667,0.180333333333333,0.803,0.147,0.134833333333333,0.514166666666667,16.481,47.2886666666667,91.9183333333333,12.2498333333333,9.05966666666667,8.08041666666667
5,2019-12-09 12:50:00,2019-12-09 12:51:00,5.73433333333333,3.336,526.1,0.186666666666667,0.82,0.183333333333333,0.166666666666667,0.5,16.5033333333333,47.36,91.9,12.24,9.04666666666667,8.157
6,2019-12-09 12:52:00,2019-12-09 12:53:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2019-12-09 12:54:00,2019-12-09 12:55:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2019-12-09 12:56:00,2019-12-09 12:57:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2019-12-09 12:58:00,2019-12-09 12:59:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2019-12-09 13:00:00,2019-12-09 13:01:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2019-12-09 13:02:00,2019-12-09 13:03:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2019-12-09 13:04:00,2019-12-09 13:05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,2019-12-09 13:06:00,2019-12-09 13:07:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2019-12-09 13:09:00,2019-12-09 13:10:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2019-12-09 13:11:00,2019-12-09 13:12:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2019-12-09 13:13:00,2019-12-09 13:14:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2019-12-09 13:15:00,2019-12-09 13:16:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2019-12-09 13:17:00,2019-12-09 13:18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2019-12-09 13:19:00,2019-12-09 13:20:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,2019-12-09 13:21:00,2019-12-09 13:22:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,2019-12-09 13:23:00,2019-12-09 13:24:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,2019-12-09 13:25:00,2019-12-09 13:26:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
