"Depth_Target","DateTime_Start","DateTime_End","Depthm","TempC","SpConduScm","ChlorophyllRFU","ChlorophyllugL","BGAPCRFU","BGAPCugL","TurbidityFNU","fDOMRFU","fDOMQSU","ODOsat","ODOmgL","pH","NITRATE_UM","NITRATE_MG","ABS_254","ABS_350","T_INT","T_SPEC","T_LAMP","Presspsia"
0,2017-11-10 15:33:00,2017-11-10 15:34:00,0.4442,9.1443,393.406666666667,0.332666666666667,1.41433333333333,0.528166666666667,0.530833333333333,1.18516666666667,13.605,39.0468333333333,82.2533333333333,9.46583333333333,7.87,15.272,0.21,0.104,0.02,13.26,15.82,14.2,0.631633333333333
1,2017-11-10 15:35:00,2017-11-10 15:36:00,0.978083333333333,9.14245,393.326666666667,0.356833333333333,1.516,0.581666666666667,0.587333333333333,1.117,13.6393333333333,39.1458333333333,82.2,9.45916666666667,7.8825,15.154,0.21,0.102,0.02,13.46,15.54,14.3,1.39096666666667
2,2017-11-10 15:37:00,2017-11-10 15:38:00,1.96428333333333,9.13891666666667,393.296666666667,0.3705,1.57016666666667,0.595833333333333,0.601666666666667,1.12916666666667,13.6478333333333,39.1675,82.175,9.45733333333333,7.89383333333333,15.0783333333333,0.21,0.108333333333333,0.02,13.6333333333333,15.3,14.4166666666667,2.79351666666667
3,2017-11-10 15:39:00,2017-11-10 15:40:00,2.98006666666667,9.14881666666667,393.346666666667,0.351333333333333,1.49183333333333,0.561666666666667,0.566,1.097,13.6526666666667,39.1845,82.0466666666667,9.44083333333333,7.9,15.0316666666667,0.21,0.103333333333333,0.02,13.8,15.1,14.5833333333333,4.23821666666667
4,2017-11-10 15:41:00,2017-11-10 15:42:00,3.9946,9.15121666666667,393.373333333333,0.359166666666667,1.5235,0.559,0.5625,1.20216666666667,13.6611666666667,39.2063333333333,82.0083333333333,9.43183333333333,7.9,15.005,0.21,0.105,0.02,13.8333333333333,14.9,14.6666666666667,5.68096666666667
5,2017-11-10 15:43:00,2017-11-10 15:44:00,5.03128333333333,9.13915,393.37,0.3445,1.46633333333333,0.566,0.570333333333333,1.099,13.6591666666667,39.202,82.1,9.4485,7.9,14.9383333333333,0.21,0.103333333333333,0.02,13.8833333333333,14.7166666666667,14.75,7.15543333333333
6,2017-11-10 15:45:00,2017-11-10 15:46:00,5.99776666666667,9.15521666666667,393.4,0.369166666666667,1.56366666666667,0.543833333333333,0.547,1.1275,13.6646666666667,39.2168333333333,82,9.43,7.9,14.9566666666667,0.21,0.105,0.02,13.9,14.55,14.8,8.53003333333333
7,2017-11-10 15:47:00,2017-11-10 15:48:00,7.00835,9.14611666666667,393.401666666667,0.343166666666667,1.46216666666667,0.559666666666667,0.564666666666667,1.12583333333333,13.663,39.2116666666667,81.9566666666667,9.43416666666667,7.9,14.9233333333333,0.21,0.105,0.02,13.9,14.4,14.8,9.9672
8,2017-11-10 15:49:00,2017-11-10 15:50:00,8.01208333333333,9.15528333333333,393.42,0.347666666666667,1.47716666666667,0.561333333333333,0.565833333333333,1.1545,13.6576666666667,39.1995,82,9.43216666666667,7.9,14.915,0.21,0.101666666666667,0.02,13.9,14.2166666666667,14.8,11.3946
9,2017-11-10 15:51:00,2017-11-10 15:52:00,9.02478333333333,9.15306666666667,393.518333333333,0.366,1.5505,0.5585,0.562833333333333,1.143,13.6671666666667,39.2236666666667,81.7916666666667,9.41083333333333,7.9,14.978,0.21,0.104,0.02,13.92,14.12,14.88,12.8348333333333
10,2017-11-10 15:53:00,2017-11-10 15:54:00,10.0185166666667,9.14736666666667,393.468333333333,0.337666666666667,1.43816666666667,0.556833333333333,0.562166666666667,1.16316666666667,13.658,39.1991666666667,81.925,9.42916666666667,7.9,14.914,0.21,0.106,0.02,13.94,14.08,14.86,14.2481666666667
11,2017-11-10 15:55:00,2017-11-10 15:56:00,10.9846166666667,9.14751666666667,393.5,0.3485,1.48266666666667,0.564166666666667,0.568833333333333,1.1615,13.6723333333333,39.2388333333333,81.9,9.42233333333333,7.9,14.916,0.21,0.102,0.02,13.98,13.92,14.88,15.62225
12,2017-11-10 15:57:00,2017-11-10 15:58:00,11.9948166666667,9.14665,393.533333333333,0.3905,1.6515,0.550333333333333,0.553333333333333,1.11366666666667,13.6815,39.2628333333333,81.8,9.41016666666667,7.9,14.916,0.21,0.106,0.02,14,13.9,14.9,17.05895
13,2017-11-10 15:59:00,2017-11-10 16:00:00,12.9964666666667,9.14658333333333,393.51,0.365666666666667,1.55283333333333,0.5835,0.5895,1.12733333333333,13.6733333333333,39.2421666666667,81.8733333333333,9.42,7.9,14.904,0.21,0.102,0.02,13.98,13.8,14.9,18.4835333333333
14,2017-11-10 16:01:00,2017-11-10 16:02:00,13.9509333333333,9.1364,393.543333333333,0.384333333333333,1.6245,0.558666666666667,0.5635,1.08366666666667,13.678,39.2535,81.805,9.4145,7.9,14.902,0.21,0.102,0.02,14,13.8,14.88,19.8411
15,2017-11-10 16:03:00,2017-11-10 16:04:00,14.95445,9.12535,393.593333333333,0.367166666666667,1.55683333333333,0.5365,0.5395,1.19883333333333,13.6968333333333,39.3106666666667,81.51,9.38433333333333,7.9,14.95,0.21,0.104,0.02,13.98,13.76,14.84,21.26835
16,2017-11-10 16:05:00,2017-11-10 16:06:00,15.9083,9.12945,393.586666666667,0.352,1.49416666666667,0.547833333333333,0.553,1.12283333333333,13.6911666666667,39.294,81.595,9.392,7.9,14.9316666666667,0.21,0.1,0.02,13.9666666666667,13.6666666666667,14.8666666666667,22.6249
17,2017-11-10 16:07:00,2017-11-10 16:08:00,16.9596166666667,9.13185,393.6,0.367,1.55616666666667,0.551166666666667,0.554666666666667,1.11833333333333,13.6861666666667,39.2786666666667,81.66,9.40083333333333,7.9,14.9233333333333,0.21,0.103333333333333,0.02,13.9833333333333,13.6,14.8666666666667,24.1203
18,2017-11-10 16:10:00,2017-11-10 16:11:00,17.91285,9.10106666666667,393.618333333333,0.371333333333333,1.572,0.558,0.562666666666667,1.10866666666667,13.7321666666667,39.4138333333333,81.0516666666667,9.3355,7.89566666666667,14.972,0.21,0.1,0.02,13.94,13.6,14.84,25.4760166666667
19,2017-11-10 16:12:00,2017-11-10 16:13:00,18.9262166666667,9.01438333333333,393.706666666667,0.392833333333333,1.66266666666667,0.5845,0.590166666666667,1.13866666666667,13.7235,39.3868333333333,81.055,9.35566666666667,7.89916666666667,14.906,0.21,0.1,0.02,13.96,13.6,14.8,26.9175166666667
