Group_1,Date_Time,Depthm,TempC,SpConduScm,ChlorophyllRFU,ChlorophyllugL,BGAPCRFU,BGAPCugL,TurbidityFNU,fDOMRFU,fDOMQSU,ODOsat,ODOmgL,pH,Presspsia,Point,latitude,longitude
14,2019-07-08 10:59:35,0.068655738,26.87363934,516.3032787,0.139508197,0.636557377,0.944262295,0.96557377,6.31852459,12.48459016,35.83557377,185.3704918,14.78622951,8.895409836,0.097262295,14,43.09083,-89.47514
15,2019-07-08 11:07:15,0.122852459,26.9032623,514.6901639,0.162131148,0.729016393,1.696393443,1.751639344,6.615737705,12.23065574,35.10737705,195.5442623,15.58803279,8.933606557,0.174180328,15,43.10502,-89.47264
16,2019-07-08 11:13:39,0.145918033,27.07768852,511.6311475,0.269836066,1.164098361,2.704754098,2.804754098,11.16934426,11.83016393,33.96,222.9868852,17.72196721,9.016065574,0.206852459,16,43.1037,-89.46303
17,2019-07-08 11:20:25,0.107229508,27.14080328,514.7901639,0.127377049,0.588196721,1.030327869,1.055409836,5.651147541,11.93032787,34.24557377,200.6295082,15.92540984,8.950655738,0.151918033,17,43.1015,-89.4505
18,2019-07-08 11:26:30,0.066442623,26.75118033,514.0442623,0.15,0.679016393,1.55852459,1.606721311,7.317213115,12.44229508,35.71459016,201.6688525,16.12163934,8.95,0.094295082,18,43.09885,-89.44552
19,2019-07-08 11:55:15,-0.001163934,26.48940984,519.9786885,0.105245902,0.500163934,0.789508197,0.803606557,4.049016393,11.62672131,33.37672131,168.9032787,13.5652459,8.84442623,-0.001639344,19,43.10382,-89.42698
20,2019-07-08 10:11:59,0.158639344,25.21145902,520.9229508,0.114098361,0.536229508,0.689508197,0.699836066,4.056065574,12.19639344,35.01098361,156.3114754,12.85,8.782622951,0.225032787,20,43.09919,-89.41768
21,2019-07-08 12:03:20,0.031344262,26.63014754,513.542623,0.15,0.680983607,1.261147541,1.295409836,7.21442623,11.5757377,33.2295082,217.2295082,17.40311475,8.999672131,0.044377049,21,43.10424,-89.41199
22,2019-07-08 12:11:58,0.053344262,26.34865574,517.8278689,0.090491803,0.440655738,0.748360656,0.760327869,4.264262295,11.65688525,33.46344262,182.1327869,14.66508197,8.899672131,0.075557377,22,43.10004,-89.39325
23,2019-07-08 12:18:55,0.027639344,26.58888525,520.1311475,0.058360656,0.310983607,0.320655738,0.313934426,2.67147541,11.64557377,33.43081967,171.4491803,13.74590164,8.84852459,0.039180328,23,43.09827,-89.3869
24,2019-07-08 12:27:05,0.04704918,26.97160656,520.7163934,0.074098361,0.373114754,0.408196721,0.40557377,3.064918033,11.30721311,32.45934426,169.4295082,13.48901639,8.842459016,0.066622951,24,43.1087,-89.3878
25,2019-07-08 12:32:54,0.042721311,26.81895082,515.2639344,0.132295082,0.607868852,1.234918033,1.268688525,7.135901639,11.8157377,33.91868852,201.2918033,16.06836066,8.95442623,0.060491803,25,43.11095,-89.3945
26,2019-07-08 13:08:25,0.088016393,27.0402623,514.4590164,0.126885246,0.588032787,1.115737705,1.145737705,7.364262295,11.57885246,33.24081967,212.2344262,16.87704918,8.976229508,0.124786885,26,43.11389,-89.41055
